id,num_backspaces,duration_backspaces,num_cut/copy/paste,discarded_text,D/I Ratio,Proportion_of_Deletions,no_distant_revision,no_immediate_revision,major_edits_count,multi_word_deletion_time,major_edits_freq,num_chars,mean_word_length,num_keystrokes,num_bursts,mean_burst_len,mean_burst_duration,std_burst_len,std_burst_duration,rate_of_keystrokes,nonproduction_time_per_essay,cursor_move_count,cursor_move_distance,cursor_move_mean_dist,cursor_move_count_new,y_difference_per_essay,num_insertions_per_essay,proportion_of_insertions,sum_IKI,mean_IKI,SD_IKI,Total_Pause_Time,Longest_Pause_Time,Mean_Pause_Time,Variance_of_total_pause_time,Num_Long_Pauses,Percentage_of_Longest_Pauses,Total_Pause_Time_Before_Word,Mean_Pause_Time_Before_Word,SD_Pause_Time_Before_Word,Total_Pause_Time_within_word,Mean_Pause_Time_within_word,SD_Pause_Time_within_word,Total_Pause_Time_Before_Sentences,Mean_Pause_Time_Before_Sentences,SD_Pause_Time_Before_Sentences,Total_Pause_Time_in_sentences,Mean_Pause_Time_in_sentences,SD_Pause_Time_in_sentences,score
001519c8,417.0,34130.0,417,489,0.2432835820895522,0.1645118640304397,2517,40.0,93,24900,0.0363707469691044,1232.0,4.831372549019608,2434,107,22.747663551401867,4936.644859813084,21.681264609232223,4666.809504164197,0.0014190033235865,18506,2517,10632,4.224076281287247,3.0,9,519,0.0022060792573291,1797351.0,702.9139616738365,4295.447374458406,1566710.0,154136.0,612.7141181071569,18408352.315344434,60,0.0234649980445834,719575,2015.6162464986,4468.798016858487,685007,1918.7871148459385,7273.768138074152,3643,173.47619047619048,416.6651676163511,1181819,56277.09523809524,43455.91367225496,3.5
0022f953,260.0,23550.0,261,266,0.1382868937048503,0.0973161795410888,2354,100.0,45,18962,0.0183374083129584,1275.0,3.984375,2200,66,33.333333333333336,7789.015151515152,47.06405890938053,10714.526722011102,0.0013717398121487,13781,2353,24087,10.23671908202295,0.0,0,498,0.0018636050654132,1758219.0,716.4706601466993,4894.385160739431,1552368.0,145899.0,632.5867970660147,24321248.57848033,48,0.0187719984356667,353328,903.6521739130436,2693.8307508659727,1087710,2781.8670076726344,16954.357991541423,69412,4627.466666666666,8278.455203259902,581673,38778.2,32758.883809695697,3.5
0042269b,439.0,32905.0,439,935,0.2660028449502133,0.2219842782899375,4037,99.0,173,25593,0.0418278529980657,2133.0,5.27970297029703,3961,62,63.88709677419355,8350.951612903225,62.4269027858431,8110.980922318242,0.0023345218548159,33951,4036,27007,6.691526263627354,0.0,0,2527,0.009005124403994,1766778.0,427.1706963249516,3939.226277662096,1495492.0,153886.0,361.5793036750484,15479008.911242647,32,0.0125146656237778,697963,1264.4257246376812,8237.817625658727,843679,1528.4039855072465,9793.226829634908,87089,4147.095238095239,15826.690942533636,1259632,59982.47619047619,58697.72640709268,6.0
0059420b,152.0,18411.0,152,163,0.13420245398773,0.092301525348636,1473,83.0,19,11853,0.012210796915167,930.0,4.514563106796117,1457,86,16.941860465116278,6576.348837209303,15.873288440323655,6279.20422977577,0.0011078920218246,3062,1472,2267,1.5400815217391304,0.0,0,208,0.0009818035920794,1362999.0,875.9633676092545,4247.5684537244615,1234009.0,101690.0,793.0649100257069,19026382.50317949,31,0.0121235823230348,524273,2157.5020576131687,3374.062919900032,745392,3067.456790123457,13400.325753456334,1466851,112834.69230769233,365509.36914699024,1032626,79432.76923076923,48355.056728250325,2.0
0075873a,517.0,40199.0,517,517,0.2662203913491246,0.1648060898559779,2490,41.0,124,32714,0.0489924930857368,1118.0,4.436507936507937,2459,83,29.626506024096383,6225.048192771084,33.822243670572014,6538.287000437359,0.0015224316559918,6988,2489,7094,2.8501406187223783,0.0,0,781,0.0023144855381697,1583920.0,625.807981035164,3896.405071764517,1403502.0,110688.0,554.5246937969182,17552736.94909354,48,0.0187719984356667,395593,1220.966049382716,3501.965191951153,1039641,3208.7685185185187,11181.242502227507,142133,6179.695652173913,13762.720183804782,1073221,46661.782608695656,73950.73940558276,4.0
0081af50,340.0,24043.0,338,351,0.1956521739130435,0.1950162513542795,2194,17.0,50,18795,0.0226142017186793,1153.0,4.192727272727272,2135,45,47.44444444444444,12089.955555555556,59.734471377145965,15680.814083336414,0.0012428917385643,6936,2193,7081,3.22891016871865,0.0,0,283,0.0013277844766511,1736209.0,785.2596110357305,6495.7715186238165,1608415.0,160742.0,727.4604251469923,42994594.84764131,23,0.0089949159170903,2418711,7396.669724770642,98245.4308756073,970395,2967.568807339449,20324.82133352918,2283,207.54545454545453,92.9293964645888,1554012,141273.81818181818,231562.86311661385,2.0
0093f095,148.0,15013.0,148,148,0.0934933670246367,0.0764257534133393,1742,23.0,21,11213,0.0118980169971671,1168.0,4.846473029045643,1731,40,43.275,9370.675,70.10431330231931,14774.196892377724,0.0009981919435447,1705,1741,2993,1.7191269385410684,0.0,0,236,0.0013550757923748,1761493.0,998.0130311614732,7845.691491873597,1600609.0,122688.0,906.8606232294618,61547097.20845424,30,0.0117324990222917,351700,1368.4824902723735,7197.535928382358,1176537,4577.964980544747,32171.355337758152,155825,10388.333333333334,31838.41238339685,1397845,93189.66666666669,246204.3867590116,4.5
009e23ab,219.0,15147.0,222,223,0.1129113924050632,0.1044261711652649,2244,109.0,35,10207,0.0148746281342966,1405.0,4.576547231270358,2198,42,52.333333333333336,11822.52380952381,93.3103049407196,19948.34999746521,0.0013077286037982,7775,2243,25889,11.542131074453856,0.0,0,359,0.0012236564490785,1692672.0,719.3676158096048,7723.522731991333,1612469.0,305373.0,685.2821929451763,64418740.120163225,29,0.0113414157215486,320398,875.4043715846994,4718.596255021655,1235467,3375.592896174863,35062.27268928701,306610,17033.88888888889,71960.02537511315,831085,46171.38888888889,100153.3805679709,4.0
00e048f1,120.0,9163.0,118,118,0.0827489481065918,0.0992489044771349,1552,33.0,21,6462,0.0132492113564668,1056.0,4.73542600896861,1544,89,17.348314606741575,6109.752808988764,16.557133263336915,5866.624097540136,0.0008817812314672,2033,1551,4187,2.6995486782720826,0.0,0,88,0.000709219858156,1792032.0,1130.6195583596214,8223.68453219705,1678691.0,214541.0,1059.1110410094636,67606130.95735903,37,0.0144700821274931,800744,3268.342857142857,10580.954154961064,649683,2651.7673469387755,11091.064713287866,107068,4655.130434782609,11351.80428311788,1292433,56192.739130434784,47848.88732079299,3.5
00e1f05a,1432.0,88939.0,1446,2290,0.3726606997558991,0.3134821985916572,7641,185.0,375,68776,0.0479171990799897,3286.0,4.446549391069012,7598,80,94.975,15545.0875,94.54246584525532,15672.053465570169,0.0042218334495875,66453,7640,29548,3.8675392670157054,0.0,0,2513,0.0042445524302722,1842802.0,235.4717607973422,811.2762359539049,1272375.0,20817.0,162.58305647840533,571684.1846023392,33,0.0129057489245209,548949,505.0128794848206,1272.9696960730164,847912,780.0478380864765,2550.749951380605,11555,398.44827586206895,493.2744517295256,1048187,36144.379310344826,26318.551650083788,4.5
